ds,y
1996-04,131700.0
1996-05,131300.0
1996-06,131100.0
1996-07,130900.0
1996-08,130800.0
1996-09,130800.0
1996-10,130800.0
1996-11,130700.0
1996-12,130600.0
1997-01,130400.0
1997-02,130300.0
1997-03,130200.0
1997-04,130200.0
1997-05,130100.0
1997-06,130100.0
1997-07,130000.0
1997-08,130000.0
1997-09,130000.0
1997-10,130100.0
1997-11,130200.0
1997-12,130300.0
1998-01,130500.0
1998-02,130700.0
1998-03,131100.0
1998-04,131700.0
1998-05,132200.0
1998-06,132700.0
1998-07,133200.0
1998-08,133700.0
1998-09,134200.0
1998-10,134600.0
1998-11,135100.0
1998-12,135600.0
1999-01,136200.0
1999-02,136700.0
1999-03,137300.0
1999-04,137900.0
1999-05,138400.0
1999-06,139000.0
1999-07,139700.0
1999-08,140500.0
1999-09,141300.0
1999-10,142200.0
1999-11,143200.0
1999-12,144300.0
2000-01,145300.0
2000-02,146300.0
2000-03,147100.0
2000-04,147700.0
2000-05,148000.0
2000-06,148100.0
2000-07,148000.0
2000-08,147700.0
2000-09,147300.0
2000-10,146800.0
2000-11,146200.0
2000-12,145400.0
2001-01,144400.0
2001-02,143500.0
2001-03,142600.0
2001-04,141900.0
2001-05,141300.0
2001-06,140900.0
2001-07,140600.0
2001-08,140500.0
2001-09,140500.0
2001-10,140700.0
2001-11,140800.0
2001-12,141000.0
2002-01,141100.0
2002-02,141400.0
2002-03,141700.0
2002-04,142200.0
2002-05,142900.0
2002-06,143600.0
2002-07,144300.0
2002-08,145000.0
2002-09,145600.0
2002-10,146200.0
2002-11,146500.0
2002-12,146800.0
2003-01,146900.0
2003-02,146800.0
2003-03,146600.0
2003-04,146300.0
2003-05,146100.0
2003-06,145900.0
2003-07,145800.0
2003-08,145800.0
2003-09,145900.0
2003-10,146000.0
2003-11,146400.0
2003-12,147000.0
2004-01,148100.0
2004-02,149400.0
2004-03,150800.0
2004-04,152100.0
2004-05,153000.0
2004-06,153800.0
2004-07,154400.0
2004-08,154800.0
2004-09,155200.0
2004-10,155600.0
2004-11,156000.0
2004-12,156500.0
2005-01,157000.0
2005-02,157400.0
2005-03,157700.0
2005-04,157900.0
2005-05,158100.0
2005-06,158200.0
2005-07,158100.0
2005-08,158000.0
2005-09,157900.0
2005-10,157900.0
2005-11,158000.0
2005-12,158300.0
2006-01,158700.0
2006-02,159100.0
2006-03,159400.0
2006-04,159700.0
2006-05,159900.0
2006-06,160200.0
2006-07,160600.0
2006-08,160900.0
2006-09,161300.0
2006-10,161800.0
2006-11,162200.0
2006-12,162600.0
2007-01,162800.0
2007-02,162900.0
2007-03,162900.0
2007-04,163100.0
2007-05,163500.0
2007-06,164100.0
2007-07,164700.0
2007-08,165300.0
2007-09,165700.0
2007-10,165900.0
2007-11,166000.0
2007-12,165900.0
2008-01,165500.0
2008-02,164700.0
2008-03,163900.0
2008-04,163200.0
2008-05,162600.0
2008-06,162100.0
2008-07,161900.0
2008-08,161900.0
2008-09,162000.0
2008-10,162100.0
2008-11,162300.0
2008-12,162700.0
2009-01,163100.0
2009-02,163400.0
2009-03,163300.0
2009-04,163200.0
2009-05,162900.0
2009-06,162800.0
2009-07,162900.0
2009-08,163300.0
2009-09,163500.0
2009-10,163800.0
2009-11,164100.0
2009-12,164600.0
2010-01,165100.0
2010-02,165300.0
2010-03,165200.0
2010-04,164900.0
2010-05,164600.0
2010-06,163800.0
2010-07,162500.0
2010-08,161800.0
2010-09,161700.0
2010-10,161300.0
2010-11,159800.0
2010-12,157500.0
2011-01,155600.0
2011-02,154600.0
2011-03,154500.0
2011-04,154800.0
2011-05,155100.0
2011-06,154900.0
2011-07,154000.0
2011-08,152900.0
2011-09,152000.0
2011-10,151600.0
2011-11,151800.0
2011-12,151900.0
2012-01,151600.0
2012-02,151600.0
2012-03,151600.0
2012-04,151100.0
2012-05,150500.0
2012-06,150500.0
2012-07,151000.0
2012-08,151600.0
2012-09,151700.0
2012-10,151400.0
2012-11,151300.0
2012-12,151800.0
2013-01,152800.0
2013-02,154200.0
2013-03,155700.0
2013-04,157500.0
2013-05,160000.0
2013-06,162600.0
2013-07,165200.0
2013-08,167400.0
2013-09,169100.0
2013-10,170500.0
2013-11,171900.0
2013-12,173400.0
2014-01,174400.0
2014-02,175000.0
2014-03,175700.0
2014-04,176800.0
2014-05,178000.0
2014-06,179700.0
2014-07,181300.0
2014-08,182400.0
2014-09,183700.0
2014-10,185300.0
2014-11,186900.0
2014-12,188500.0
2015-01,190100.0
2015-02,191400.0
2015-03,192400.0
2015-04,193400.0
2015-05,194300.0
2015-06,195200.0
2015-07,196200.0
2015-08,197000.0
2015-09,198000.0
2015-10,198900.0
2015-11,199500.0
2015-12,200400.0
2016-01,201900.0
2016-02,202800.0
2016-03,203000.0
2016-04,203500.0
2016-05,204500.0
2016-06,205100.0
2016-07,205400.0
2016-08,205700.0
2016-09,206200.0
2016-10,206800.0
2016-11,207500.0
2016-12,207900.0
2017-01,208600.0
2017-02,208900.0
2017-03,208400.0
2017-04,208000.0
2017-05,208000.0
2017-06,208200.0
2017-07,208900.0
2017-08,210200.0
2017-09,210700.0
2017-10,211200.0
2017-11,212300.0
2017-12,213100.0
2018-01,212800.0
2018-02,214300.0
2018-03,217500.0
2018-04,219600.0
